8,6
2,2

6,5
2,1

10,8
1,0
1,1

8,6
1,1

4,3
1,1

6,5
1,1

6,5
2,1

10,8
2,1

4,4
2,1

4,3
1,0
1,1

8,7
2,1

6,5
1,0
1,1

6,5
1,1

6,5
2,2

4,3
1,1

6,4
2,1

8,7
2,2

4,4
2,2

6,5
1,0
1,1

4,3
2,0
2,2

8,6
2,1

4,4
2,1

8,6
1,1

4,3
2,2

6,4
2,1

6,6
1,1

6,5
2,2

4,3
1,0
1,1

6,5
1,0
2,2

6,4
2,2

6,5
1,1

4,3
1,1

6,3
2,1

14,10
2,2

8,7
1,1

6,5
1,1

6,5
2,1

4,4
2,1

8,7
1,1

6,5
1,1

6,4
2,1

8,5
1,1

6,5
2,2

6,5
2,1

8,7
2,2

8,5
2,2

4,3
2,2

4,3
1,1

8,6
2,1

6,5
1,1

6,5
2,1

6,5
1,0
1,1

8,7
1,1

4,3
2,1

6,5
1,0
1,0
1,1

8,7
1,1

4,3
1,1

6,5
1,1

8,7
2,2

6,5
1,1

4,3
1,1

10,5
1,1

6,5
2,1

4,3
1,1

6,3
1,1

4,3
1,1

4,3
1,1

8,5
2,1

6,4
2,2

4,3
1,0
1,1

4,3
1,1

6,5
2,2

4,2
2,2

4,3
2,2

4,3
1,1

6,4
1,0
1,1

10,7
1,0
1,1

4,3
1,0
2,2

6,5
2,0
2,1

10,6
2,1

8,7
1,1

4,2
1,1

8,6
1,0
1,1

8,6
2,2

6,4
1,0
2,2

6,5
2,2

4,3
1,1

6,5
1,0
1,1

8,7
2,2

4,3
2,2

6,4
1,0
1,0
2,2

6,5
2,0
2,1

4,4
2,1

8,7
1,1

4,2
1,1

6,5
2,1

4,3
1,1

6,5
1,1

4,4
1,0
1,1

4,4
1,0
1,1
